role_id,role_code,role_name,role_type,sort_order
PR01,event_player_1,Event Player 1,event_team,1
PR02,event_player_2,Event Player 2,event_team,2
PR03,event_player_3,Event Player 3,event_team,3
PR04,event_player_4,Event Player 4,event_team,4
PR05,event_player_5,Event Player 5,event_team,5
PR06,event_player_6,Event Player 6,event_team,6
PR07,event_goalie,Event Team Goalie,event_team,7
PR08,opp_player_1,Opponent Player 1,opp_team,8
PR09,opp_player_2,Opponent Player 2,opp_team,9
PR10,opp_player_3,Opponent Player 3,opp_team,10
PR11,opp_player_4,Opponent Player 4,opp_team,11
PR12,opp_player_5,Opponent Player 5,opp_team,12
PR13,opp_player_6,Opponent Player 6,opp_team,13
PR14,opp_goalie,Opponent Goalie,opp_team,14
